cctv_ID,Direction,RoadName,VideoStreamURL
CCTV50,NE,台61橋下道路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=CCTV50&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV12,S,台1線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv12&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV100,W,144,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV100&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV101,E,144,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV101&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV102,W,144,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV102&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV103,E,144,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV103&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV104,S,台61乙線,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV104&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV105,E,和美交流道聯絡道,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV105&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV106,S,135,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV106&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV107,S,135,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV107&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV108,N,135,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV108&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV109,N,135,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV109&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV110,E,142,https://changhuatc.chtraffic.gov.tw/cctv/2/Interface/Cameras/GetJPEGStream?Camera=CCTV110&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV26,E,142,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv26&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV27,S,台19線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv27&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV28,N,台1線,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv28&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV29,N,中正路二段,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv29&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV30,N,中山路二段,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv30&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV31,E,142,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv31&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV32,E,142,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv32&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV33,SE,復興南路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv33&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
CCTV34,E,工一路,https://changhuatc.chtraffic.gov.tw/cctv/1/Interface/Cameras/GetJPEGStream?Camera=cctv34&Width=320&Height=240&Quality=50&FPS=5&AuthUser=web
